fips,district,year,enrollment,cs_score,locale,is_rural,enrollment_log10
4003840,Belfonte,2015,213,-0.4759081451393524,42-Rural: Distant,1,2.3283796034387376
4003840,Belfonte,2014,217,0.3911469164440165,42-Rural: Distant,1,2.3364597338485296
4003930,Bennington,2024,270,0.2601407331859684,43-Rural: Remote,1,2.4313637641589874
4003930,Bennington,2023,294,0.1851408129855516,43-Rural: Remote,1,2.4683473304121573
4003930,Bennington,2022,315,-0.0223631604048344,43-Rural: Remote,1,2.4983105537896004
4003930,Bennington,2019,344,0.0035285269295306,43-Rural: Remote,1,2.53655844257153
4003930,Bennington,2018,356,-0.0529592088917789,43-Rural: Remote,1,2.5514499979728753
4003930,Bennington,2017,328,-0.1304242393349984,43-Rural: Remote,1,2.515873843711679
4003930,Bennington,2016,298,0.1390877216581075,43-Rural: Remote,1,2.4742162640762553
4003930,Bennington,2015,286,0.0917167903379116,43-Rural: Remote,1,2.456366033129043
4003930,Bennington,2014,287,0.0413563176934694,43-Rural: Remote,1,2.4578818967339924
4004020,Berryhill,2024,1139,-0.0990902227946125,21-Suburb: Large,0,3.0565237240791006
4004020,Berryhill,2023,1150,-0.1682258641335489,21-Suburb: Large,0,3.060697840353612
4004020,Berryhill,2022,1123,-0.1271379833664239,21-Suburb: Large,0,3.050379756261458
4004020,Berryhill,2019,1221,0.127626796118834,21-Suburb: Large,0,3.0867156639448825
4004020,Berryhill,2018,1241,0.0297020722574578,21-Suburb: Large,0,3.09377178149873
4004020,Berryhill,2017,1226,0.0847349004958528,21-Suburb: Large,0,3.0884904701823963
4004020,Berryhill,2016,1258,0.1138008356127928,21-Suburb: Large,0,3.09968064110925
4004020,Berryhill,2015,1275,0.1051303888416813,21-Suburb: Large,0,3.1055101847699738
4004020,Berryhill,2014,1289,0.087294553292097,21-Suburb: Large,0,3.110252917353403
4004110,Bethany,2024,1775,0.3713367281824571,21-Suburb: Large,0,3.249198357391113
4004110,Bethany,2023,1747,0.3470476848414419,21-Suburb: Large,0,3.2422929049829308
4004110,Bethany,2022,1730,0.3418969477124277,21-Suburb: Large,0,3.2380461031287955
4004110,Bethany,2019,1709,0.433240851546669,21-Suburb: Large,0,3.232742062720737
4004110,Bethany,2018,1723,0.3137511140731689,21-Suburb: Large,0,3.2362852774480286
4004110,Bethany,2017,1713,0.3707613026728381,21-Suburb: Large,0,3.2337573629655103
4004110,Bethany,2016,1718,0.424227797578276,21-Suburb: Large,0,3.2350231594952237
